times,agents,alg,range
150.28,3,astar,50
75.6468,3,astar,50
300.0,3,astar,50
5.84803,3,astar,50
300.0,3,astar,50
4.18457,3,astar,50
1.89587,3,astar,50
0.116931,3,astar,50
0.138769,3,astar,50
0.0819405,3,astar,50
0.0557321,3,astar,50
0.0790905,3,astar,50
0.0663174,3,astar,50
0.0982288,3,astar,50
0.0540955,3,astar,50
0.178728,3,astar,50
0.0649493,3,astar,50
0.156934,3,astar,50
0.104258,3,astar,50
4.6562,3,astar,50
0.10958,3,astar,50
300.0,3,birk,100
3.83562,3,birk,100
300.0,3,birk,100
2.55539,3,birk,100
300.0,3,birk,100
300.0,3,birk,100
3.95793,3,birk,100
4.04325,3,birk,100
3.85385,3,birk,100
300.0,3,birk,100
3.62665,3,birk,100
3.32764,3,birk,100
4.40448,3,birk,100
300.0,3,birk,100
300.0,3,birk,100
3.53231,3,birk,100
6.25254,3,birk,100
300.0,3,birk,100
300.0,3,birk,100
1.67759,3,birk,100
3.34553,3,birk,100
300.0,3,birk,100
300.0,3,birk,100
1.81679,3,birk,100
5.53906,3,birk,100
3.43671,3,birk,100
3.61463,3,birk,100
300.0,3,birk,100
4.83462,3,birk,100
3.93512,3,birk,100
300.0,3,birk,100
300.0,3,birk,100
3.23373,3,birk,100
2.19224,3,birk,100
300.0,3,birk,100
300.0,3,birk,100
3.86358,3,birk,100
300.0,3,birk,100
2.22891,3,birk,100
2.1563,3,birk,100
300.0,3,birk,100
3.19077,3,birk,100
300.0,3,birk,100
300.0,3,birk,100
300.0,3,birk,100
300.0,3,birk,100
5.93542,3,birk,100
2.6353,3,birk,100
5.49468,3,birk,100
2.97784,3,birk,100
0.297588,3,dfs,100
0.289739,3,dfs,100
1.07571,3,dfs,100
0.231732,3,dfs,100
0.241217,3,dfs,100
1.06139,3,dfs,100
0.276271,3,dfs,100
0.317307,3,dfs,100
2.74041,3,dfs,100
2.29409,3,dfs,100
0.259993,3,dfs,100
0.267499,3,dfs,100
0.268464,3,dfs,100
0.94479,3,dfs,100
1.02108,3,dfs,100
0.256611,3,dfs,100
0.952146,3,dfs,100
1.5331,3,dfs,100
1.11026,3,dfs,100
0.215151,3,dfs,100
0.26945,3,dfs,100
0.402531,3,dfs,100
1.64915,3,dfs,100
0.221884,3,dfs,100
0.434898,3,dfs,100
0.331684,3,dfs,100
0.255396,3,dfs,100
2.62952,3,dfs,100
0.315527,3,dfs,100
0.259376,3,dfs,100
12.9522,3,dfs,100
0.269552,3,dfs,100
0.255674,3,dfs,100
0.377551,3,dfs,100
2.76886,3,dfs,100
0.233172,3,dfs,100
0.259194,3,dfs,100
13.3214,3,dfs,100
0.226257,3,dfs,100
0.312796,3,dfs,100
2.61698,3,dfs,100
